Price,TransferDate,PostCode,PropType,Age,Duration,City,District,County
12500,42916,N4 3EF,Other,Pre-Owned,Leasehold,LONDON,ISLINGTON,GREATER LONDON
265000,42879,SE1 4NX,Other,Pre-Owned,Leasehold,LONDON,SOUTHWARK,GREATER LONDON
2030000,42949,NW2 2DW,Other,Pre-Owned,Freehold,LONDON,BARNET,GREATER LONDON
91000,43028,RM3 7PH,Other,Pre-Owned,Freehold,ROMFORD,HAVERING,GREATER LONDON
141000,43069,RM3 7PH,Other,Pre-Owned,Freehold,ROMFORD,HAVERING,GREATER LONDON
215000,36419,SW6 2TZ,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
202500,36280,SW5 9UD,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
240000,36497,SE24 9JU,Terraced,Pre-Owned,Freehold,LONDON,SOUTHWARK,GREATER LONDON
110000,36362,HA5 5NE,Terraced,Pre-Owned,Freehold,PINNER,HARROW,GREATER LONDON
79000,36308,RM8 1UU,Terraced,Pre-Owned,Freehold,DAGENHAM,BARKING AND DAGENHAM,GREATER LONDON
580000,43244,UB3 2RP,Semi-Detached,Pre-Owned,Freehold,HAYES,HILLINGDON,GREATER LONDON
265000,43426,TW5 9SY,Flat,Pre-Owned,Leasehold,HOUNSLOW,HOUNSLOW,GREATER LONDON
300000,43375,N19 5NJ,Flat,Pre-Owned,Leasehold,LONDON,ISLINGTON,GREATER LONDON
285000,43453,EN1 3LF,Flat,Pre-Owned,Leasehold,ENFIELD,ENFIELD,GREATER LONDON
460000,43114,N4 1AZ,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
81250,43434,UB7 7XH,Flat,Pre-Owned,Leasehold,WEST DRAYTON,HILLINGDON,GREATER LONDON
380000,43349,NW2 2LX,Flat,Pre-Owned,Leasehold,LONDON,BARNET,GREATER LONDON
265000,43454,E4 7NN,Flat,Pre-Owned,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
710000,43280,E3 4SL,Flat,Pre-Owned,Leasehold,LONDON,TOWER HAMLETS,GREATER LONDON
361000,43448,NW9 7FH,Flat,NewBuild,Leasehold,LONDON,BARNET,GREATER LONDON
600000,43374,W4 2DZ,Flat,NewBuild,Leasehold,LONDON,HOUNSLOW,GREATER LONDON
499999,43448,NW9 7FE,Flat,NewBuild,Leasehold,LONDON,BARNET,GREATER LONDON
1698400,43328,N1C 4BX,Flat,NewBuild,Leasehold,LONDON,CAMDEN,GREATER LONDON
835000,43341,SW6 6JS,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
201600,43276,RM7 8EJ,Flat,Pre-Owned,Leasehold,ROMFORD,HAVERING,GREATER LONDON
882000,43454,W14 0HD,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
540000,43227,E14 6JS,Flat,Pre-Owned,Leasehold,LONDON,TOWER HAMLETS,GREATER LONDON
206000,42794,CR2 8LL,Other,Pre-Owned,Freehold,SOUTH CROYDON,CROYDON,GREATER LONDON
401000,42783,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
390000,42747,SW16 2BQ,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
8250000,42961,SE8 3GZ,Other,Pre-Owned,Leasehold,LONDON,LEWISHAM,GREATER LONDON
860000,42815,N12 0JL,Semi-Detached,Pre-Owned,Freehold,LONDON,BARNET,GREATER LONDON
430000,43077,BR2 6DU,Detached,Pre-Owned,Freehold,KESTON,BROMLEY,GREATER LONDON
325000,42781,TW7 7DE,Terraced,Pre-Owned,Freehold,ISLEWORTH,HOUNSLOW,GREATER LONDON
2950000,42997,NW4 1SX,Detached,Pre-Owned,Freehold,LONDON,BARNET,GREATER LONDON
350563,42921,SW18 1QZ,Flat,NewBuild,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
860000,43322,N5 2ET,Flat,Pre-Owned,Leasehold,LONDON,ISLINGTON,GREATER LONDON
580000,43244,UB3 2RP,Semi-Detached,Pre-Owned,Leasehold,HAYES,HILLINGDON,GREATER LONDON
280000,43144,SM4 5BW,Flat,Pre-Owned,Leasehold,MORDEN,MERTON,GREATER LONDON
468000,43356,SE20 7BE,Flat,Pre-Owned,Leasehold,LONDON,BROMLEY,GREATER LONDON
735000,43381,SE26 5PN,Flat,Pre-Owned,Leasehold,LONDON,BROMLEY,GREATER LONDON
224000,43266,CR2 7EA,Flat,Pre-Owned,Leasehold,SOUTH CROYDON,CROYDON,GREATER LONDON
580000,43430,SW4 6FF,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
466650,43454,SW19 4JG,Flat,Pre-Owned,Leasehold,LONDON,MERTON,GREATER LONDON
270000,43256,RM10 9BP,Terraced,Pre-Owned,Freehold,DAGENHAM,BARKING AND DAGENHAM,GREATER LONDON
1665000,43175,SE1 7GG,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
600000,43420,SW2 5TX,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
710000,43283,SW18 1GF,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
390000,43201,SE15 2ND,Flat,Pre-Owned,Leasehold,LONDON,SOUTHWARK,GREATER LONDON
240435,37033,E14 5SH,Flat,NewBuild,Leasehold,LONDON,TOWER HAMLETS,GREATER LONDON
115000,37209,N8 7PG,Terraced,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
145000,37168,CR0 9LQ,Terraced,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
73500,35459,UB3 4BG,Terraced,Pre-Owned,Freehold,HAYES,HILLINGDON,GREATER LONDON
125000,35563,SE1 2BB,Flat,NewBuild,Leasehold,LONDON,SOUTHWARK,GREATER LONDON
175000,35640,SW17 7HP,Terraced,Pre-Owned,Freehold,LONDON,WANDSWORTH,GREATER LONDON
104000,35475,SW6 2RX,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
250000,35608,EC1V 1JB,Flat,Pre-Owned,Freehold,LONDON,HACKNEY,GREATER LONDON
94000,35478,UB6 0SU,Terraced,Pre-Owned,Freehold,GREENFORD,EALING,GREATER LONDON
80500,35516,CR0 9LQ,Terraced,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
133000,35556,NW5 2JD,Flat,Pre-Owned,Leasehold,LONDON,CAMDEN,GREATER LONDON
78500,35657,RM7 8HH,Terraced,Pre-Owned,Freehold,ROMFORD,HAVERING,GREATER LONDON
127000,35704,HA0 3SF,Semi-Detached,Pre-Owned,Freehold,WEMBLEY,BRENT,GREATER LONDON
78000,35611,CR0 9LQ,Terraced,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
429950,42433,N8 0QH,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
310400,42551,E14 9BE,Flat,NewBuild,Leasehold,LONDON,TOWER HAMLETS,GREATER LONDON
555000,42678,E16 1XD,Flat,Pre-Owned,Leasehold,LONDON,NEWHAM,GREATER LONDON
384750,42593,SE10 0TX,Flat,NewBuild,Leasehold,LONDON,GREENWICH,GREATER LONDON
400000,42444,SW16 1NJ,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
450000,42444,SW16 1NJ,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
700000,43215,SW12 0HH,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
380000,43406,SW18 4PD,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
534995,43385,SE5 7FX,Flat,NewBuild,Leasehold,LONDON,SOUTHWARK,GREATER LONDON
750900,43452,SW11 7AJ,Flat,NewBuild,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
697300,43279,SW11 7AH,Flat,NewBuild,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
600000,43287,SW18 3QX,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
10000,43454,TW7 4PX,Other,Pre-Owned,Leasehold,ISLEWORTH,HOUNSLOW,GREATER LONDON
10000,43447,E17 4NB,Other,Pre-Owned,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
270000,43433,N17 0EY,Other,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
34562,43115,N14 6DA,Other,Pre-Owned,Leasehold,LONDON,ENFIELD,GREATER LONDON
175000,43433,NW4 4RL,Flat,Pre-Owned,Leasehold,LONDON,BARNET,GREATER LONDON
150000,43433,NW4 4RL,Other,Pre-Owned,Leasehold,LONDON,BARNET,GREATER LONDON
150000,43433,NW4 4RL,Other,Pre-Owned,Leasehold,LONDON,BARNET,GREATER LONDON
150000,43433,NW4 4RL,Other,Pre-Owned,Leasehold,LONDON,BARNET,GREATER LONDON
175000,43433,NW4 4RL,Flat,Pre-Owned,Leasehold,LONDON,BARNET,GREATER LONDON
1875000,43385,SW1A 1RD,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
250000,43404,EN3 4SN,Flat,Pre-Owned,Leasehold,ENFIELD,ENFIELD,GREATER LONDON
352000,43188,E14 0BH,Flat,Pre-Owned,Leasehold,LONDON,TOWER HAMLETS,GREATER LONDON
1997621,43356,NW3 6DH,Semi-Detached,Pre-Owned,Freehold,LONDON,CAMDEN,GREATER LONDON
1200000,43356,NW3 4LL,Other,Pre-Owned,Freehold,LONDON,CAMDEN,GREATER LONDON
500000,42431,IG1 4AA,Other,Pre-Owned,Freehold,ILFORD,REDBRIDGE,GREATER LONDON
156000,42663,CR7 8NF,Other,Pre-Owned,Freehold,THORNTON HEATH,CROYDON,GREATER LONDON
389950,42389,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
515000,42452,EC2A 4QS,Flat,Pre-Owned,Leasehold,LONDON,HACKNEY,GREATER LONDON
280000,42458,E12 5PF,Flat,Pre-Owned,Leasehold,LONDON,NEWHAM,GREATER LONDON
395000,42472,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
247500,42562,UB6 0SU,Terraced,Pre-Owned,Freehold,GREENFORD,EALING,GREATER LONDON
191500,42502,CR7 7BB,Flat,Pre-Owned,Leasehold,THORNTON HEATH,CROYDON,GREATER LONDON
520000,42706,N9 0AX,Terraced,Pre-Owned,Freehold,LONDON,ENFIELD,GREATER LONDON
412000,42487,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
855095,43356,NW3 4EH,Terraced,Pre-Owned,Freehold,LONDON,CAMDEN,GREATER LONDON
30000,43454,KT6 4LW,Other,Pre-Owned,Leasehold,SURBITON,KINGSTON UPON THAMES,GREATER LONDON
12000,43453,CR2 9BX,Other,Pre-Owned,Leasehold,SOUTH CROYDON,CROYDON,GREATER LONDON
292500,43424,SE8 3AJ,Flat,Pre-Owned,Leasehold,LONDON,LEWISHAM,GREATER LONDON
41500,43139,SE13 6UF,Other,Pre-Owned,Freehold,LONDON,LEWISHAM,GREATER LONDON
83425,43454,SE12 8JE,Other,Pre-Owned,Freehold,LONDON,GREENWICH,GREATER LONDON
11250,43416,TW10 6AP,Other,Pre-Owned,Freehold,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON
740000,43297,SW17 9PB,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
345000,43454,SE12 8UB,Terraced,Pre-Owned,Freehold,LONDON,GREENWICH,GREATER LONDON
700000,43361,SE10 9FR,Other,NewBuild,Leasehold,LONDON,GREENWICH,GREATER LONDON
255000,43122,HA5 3TJ,Flat,Pre-Owned,Leasehold,PINNER,HARROW,GREATER LONDON
175000,43143,NW4 2JY,Other,Pre-Owned,Freehold,LONDON,BARNET,GREATER LONDON
3000000,43222,HA2 0XH,Other,Pre-Owned,Freehold,HARROW,HARROW,GREATER LONDON
330000,43243,BR5 3PG,Other,Pre-Owned,Freehold,ORPINGTON,BROMLEY,GREATER LONDON
330000,43350,BR5 3PG,Other,Pre-Owned,Freehold,ORPINGTON,BROMLEY,GREATER LONDON
1400000,43448,SE21 7AF,Other,Pre-Owned,Freehold,LONDON,SOUTHWARK,GREATER LONDON
690000,43180,KT4 8BA,Other,Pre-Owned,Freehold,WORCESTER PARK,SUTTON,GREATER LONDON
2982650,43150,N1C 4BW,Flat,NewBuild,Leasehold,LONDON,CAMDEN,GREATER LONDON
435000,43224,SE5 9NG,Flat,Pre-Owned,Leasehold,LONDON,SOUTHWARK,GREATER LONDON
5350000,43293,W1W 7LS,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
967500,43104,N1 8JY,Detached,Pre-Owned,Freehold,LONDON,ISLINGTON,GREATER LONDON
650000,43216,BR1 2TE,Detached,Pre-Owned,Freehold,BROMLEY,BROMLEY,GREATER LONDON
10700000,42744,WC1N 1PG,Other,Pre-Owned,Freehold,LONDON,CAMDEN,GREATER LONDON
665000,43006,EN1 2JD,Detached,Pre-Owned,Freehold,ENFIELD,ENFIELD,GREATER LONDON
155200,43014,E17 7FE,Flat,NewBuild,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
155200,43014,E17 7FE,Flat,NewBuild,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
155200,43014,E17 7FE,Flat,NewBuild,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
155200,43014,E17 7FE,Flat,NewBuild,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
495000,42968,E5 0DD,Flat,Pre-Owned,Leasehold,LONDON,HACKNEY,GREATER LONDON
141250,42811,N1 5TQ,Flat,Pre-Owned,Leasehold,LONDON,HACKNEY,GREATER LONDON
190000,35944,SW5 9LA,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
1730000,35845,W1S 4LE,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
235000,36097,SW5 0PL,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
169000,36126,W14 0NS,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
150000,38650,E10 6JQ,Flat,Pre-Owned,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
152000,36826,UB3 4BG,Terraced,Pre-Owned,Freehold,HAYES,HILLINGDON,GREATER LONDON
175000,36707,SW5 9PF,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
275000,36749,SW5 9PF,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
130000,36717,W3 7DA,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
243000,36791,SW5 9PF,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
234000,36691,TW2 5NH,Terraced,Pre-Owned,Freehold,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON
101000,36783,KT3 3TD,Flat,NewBuild,Leasehold,NEW MALDEN,KINGSTON UPON THAMES,GREATER LONDON
498000,36728,SW15 6XP,Terraced,Pre-Owned,Freehold,LONDON,WANDSWORTH,GREATER LONDON
195000,36545,W14 0NS,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
60000,36878,CR7 7BB,Flat,Pre-Owned,Leasehold,THORNTON HEATH,CROYDON,GREATER LONDON
165000,36553,W4 2HD,Flat,Pre-Owned,Leasehold,LONDON,HOUNSLOW,GREATER LONDON
109950,36622,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
70000,36616,SE9 6UD,Terraced,Pre-Owned,Freehold,LONDON,GREENWICH,GREATER LONDON
95000,36819,RM8 1UU,Terraced,Pre-Owned,Freehold,DAGENHAM,BARKING AND DAGENHAM,GREATER LONDON
79000,36760,N4 1DE,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
143000,36878,SW2 3LX,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
178000,43453,CR2 9BX,Flat,Pre-Owned,Leasehold,SOUTH CROYDON,CROYDON,GREATER LONDON
370000,43252,SE5 9NG,Flat,Pre-Owned,Leasehold,LONDON,SOUTHWARK,GREATER LONDON
750000,43406,CR3 0DH,Detached,Pre-Owned,Freehold,WHYTELEAFE,CROYDON,GREATER LONDON
355000,43321,CR0 9LQ,Terraced,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
508000,43300,SE26 6NR,Flat,Pre-Owned,Leasehold,LONDON,LEWISHAM,GREATER LONDON
414000,43231,NW6 1PN,Flat,Pre-Owned,Leasehold,LONDON,CAMDEN,GREATER LONDON
4150000,43258,W1W 7LS,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
3850000,43258,W1W 7LS,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
383500,43186,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
435000,43130,N12 8AA,Flat,Pre-Owned,Leasehold,LONDON,BARNET,GREATER LONDON
383000,43441,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
750000,43348,BR7 5LE,Detached,Pre-Owned,Freehold,CHISLEHURST,BROMLEY,GREATER LONDON
470000,43252,SW12 0NE,Other,Pre-Owned,Freehold,LONDON,LAMBETH,GREATER LONDON
156166,43185,E15 1GH,Flat,NewBuild,Leasehold,LONDON,NEWHAM,GREATER LONDON
385000,43299,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
54000,36152,E17 4LX,Flat,Pre-Owned,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
58000,36138,KT4 8BA,Semi-Detached,Pre-Owned,Freehold,WORCESTER PARK,SUTTON,GREATER LONDON
96000,36132,CR0 9LQ,Terraced,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
250000,35950,UB1 1QF,Terraced,Pre-Owned,Freehold,SOUTHALL,EALING,GREATER LONDON
63500,36014,TW8 0PF,Flat,Pre-Owned,Leasehold,BRENTFORD,HOUNSLOW,GREATER LONDON
515000,42300,SE4 1ST,Flat,Pre-Owned,Leasehold,LONDON,LEWISHAM,GREATER LONDON
2250000,42200,SW3 5EL,Other,Pre-Owned,Freehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
32000,42200,SE24 9AY,Other,Pre-Owned,Freehold,LONDON,LAMBETH,GREATER LONDON
395000,42034,SW15 1HJ,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
